Rank,Frame Rank,Horse Number,Horse Name,Sex/Age,Kinryou,Jockey,Time,Chakusa,Tsuuka,Nobori,Tansyou,Ninki,Horse Weight,Trainer,Banushi,Shoukin
7,2,2,シゲルミカワ,牡5,56,杉村一樹,1:39.6,ハナ,7-7-7-5,42.1,65.0,9,484(+1),[地]鈴木義久,森中蕃,
8,8,11,ドリームイースト,牝5,54,増田充宏,1:39.8,3/4,3-3-4-7,42.9,26.2,5,454(-3),[地]佐々木仁,（株）ドリームター,
9,4,4,スプリングス,牡4,56,小杉亮,1:39.8,ハナ,8-9-10-10,41.7,35.3,6,471(-5),[地]矢野義幸,江幡丈美,
10,6,7,トウカイストラーダ,牝4,54,酒井忍,1:39.8,ハナ,4-4-3-4,42.9,93.7,11,442(-2),[地]藤原智行,（有）カネショウ,
11,6,6,オウルインザダスク,牝4,54,川島正太,1:40.1,1.1/2,6-6-6-9,42.8,59.6,8,437(-4),[地]佐藤裕太,塚本徳明,
1,2,2,マイネルラヴォーロ,牡5,56,笹川翼,1:38.2,,7-7-7-5,40.7,22.5,8,462(0),[地]酒井一則,田中政彦,80.0
2,4,4,ミヤビリヴェール,牝4,54,真島大輔,1:38.2,アタマ,1-1-1-1,41.5,2.5,1,442(-3),[地]佐々木仁,菊地捷士,24.0
3,8,11,シゲルオカメマツリ,牝4,54,和田譲治,1:38.3,1/2,3-3-2-2,41.4,7.6,5,556(0),[地]鈴木義久,森中蕃,14.4
4,7,8,アルトサックス,牡4,56,柏木健宏,1:38.3,ハナ,6-6-3-5,41.2,11.6,6,473(+2),[地]山本学,手嶋康雄,9.6
5,6,6,カネマサパートナー,牡5,56,有年淳,1:38.4,1/2,5-5-4-3,41.2,22.2,7,489(-4),[地]宇野木博,グローバルサービス,8.0
6,3,3,ナモンブライアン,牡4,56,本橋孝太,1:38.6,3/4,10-9-9-7,40.8,5.7,2,497(+8),[地]林隆之,本間充,
7,8,10,エリザヴェータ,牝7,54,的場文男,1:39.7,5,2-2-5-9,42.5,6.5,4,496(+1),[地]山崎裕也,（有）下河辺トレー,
8,5,5,ヘクターザグレート,牡5,56,加藤和博,1:39.9,3/4,9-10-7-8,42.2,61.8,10,517(-8),[地]川島豊,（株）ファーストビ,
9,6,7,カレイジルベルト,牡4,56,藤江渉,1:40.1,1,11-11-11-11,41.7,85.2,11,492(+13),[地]岡田一男,丹呉通孝,
10,7,9,レオウィッチ,牝4,54,町田直希,1:40.4,1.1/2,8-8-9-10,42.6,35.5,9,468(+22),[地]岡林光浩,田中博之,
11,1,1,スタチュー,牡4,56,中野省吾,1:40.7,1.1/2,4-4-6-4,43.4,5.9,3,459(-1),[地]新井清重,田村誠,
1,3,3,アマリネ,牝6,54,矢野貴之,1:45.7,,5-5-5-3,38.9,5.4,3,470(-6),[地]内田勝義,宮崎時子,100.0
2,7,10,シゲルダンジリ,牡4,56,山崎誠士,1:46.3,3,3-3-3-5,39.7,4.3,2,474(0),[地]田島寿一,森中蕃,30.0
3,1,1,ルリアンソリデ,牡4,53,岡村健司,1:46.4,1/2,4-4-6-3,39.6,9.9,5,503(-3),[地]稲益貴弘,野崎優,18.0
4,5,5,クロヒゲ,牡5,56,本田正重,1:46.5,1/2,5-6-6-6,39.7,2.4,1,525(+5),[地]佐藤賢二,廣松重信,12.0
5,6,8,プラチナムスタング,牝4,54,町田直希,1:46.6,3/4,2-2-1-2,40.2,19.0,7,470(-1),[地]酒井一則,竹森幹雄,10.0
6,8,11,ティフォージ,牡4,56,中野省吾,1:46.7,1/2,9-9-10-9,39.4,7.8,4,454(+1),[地]高月賢一,（同）ＪＰＮ技研,
7,6,7,マルヒロヒカリ,牝4,54,笠野雄大,1:47.0,1.1/2,1-1-1-1,40.6,19.2,8,466(+3),[地]玉井勝,広川直,
8,8,12,リリパットララバイ,牡4,53,保園翔也,1:47.5,2.1/2,5-7-3-7,40.7,18.4,6,451(-4),[地]山越光,小沼一成,
9,2,2,ウインアシュリン,牝4,54,寺島憂人,1:48.0,2.1/2,11-10-11-10,40.5,150.1,12,435(-7),[地]宇野木数,菅原ヒロ子,
10,4,4,リュウノスピード,牡4,56,林幻,1:48.0,アタマ,8-8-8-8,41.0,60.5,9,464(-1),[地]斉藤敏,蓑島竜一,
11,5,6,キタノファイター,牡5,56,實川純一,1:48.4,2,10-10-9-10,41.1,126.9,10,410(+3),[地]佐々木功,村岡曉憲,
12,7,9,プリンセスルビー,牝4,54,柿本量平,1:51.0,大,12-12-12-12,42.7,137.9,11,372(-7),[地]宮下貴明,山路孝,
1,8,13,グランヴァン,牡7,56,山崎誠士,1:35.7,,7-7-7-5,39.7,5.3,3,482(-6),[地]岩本洋,西森鶴,200.0
2,1,1,ポッドジョイ,牡4,56,石崎駿,1:36.0,1.1/2,14-14-14-13,38.0,10.5,4,487(+4),[地]八木正喜,小川真査雄,60.0
3,2,2,フュージョン,牝8,54,坂井英光,1:36.2,1,10-10-10-11,39.6,18.2,7,495(+1),[地]高月賢一,古賀慎一,40.0
4,3,3,エンプレスダンス,牝4,54,酒井忍,1:36.5,1.1/2,8-8-9-4,40.1,75.2,12,490(0),[地]斉藤敏,杉浦和也,24.0
5,7,11,ルミナスコマンダー,牡4,56,中野省吾,1:36.8,1.1/2,5-5-5-5,41.5,3.2,2,494(-3),[地]函館一昭,川上和彦,16.0
